Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,-0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.01586368679312992,0.10249656438827515,0.0,0.0,0.0,0.0,0.0,0.015916434028950977,0.1024756208062172,0.0031898480374366045,3.209070928278379e-05,0.0015145298093557358,0.022225674241781235,0.008405804634094238,0.021987922489643097,0.008643371984362602,0.0011922358435674549,-0.00010783112520584837,0.005449566058814526,0.0063076503574848175,0.016476407835436666,0.02041561421762834,0.003429983975365758,0.0031132535077631474,0.032043352685189624,0.0361423622481823,6.30849608569406e-05,0.0022321310825645924,1.2125849934818689e-05,0.0006420330997119255,8.115164382616058e-05,0.00010395372373750433,0.03228657692670822,0.03188478201627731,0.0018509373129828573,0.0017581085237447262,-0.0002399544755462557,-0.00020288182713557035,0.06937022508338814,0.07221154314141026,0.0722288172901682,-7.580041710752994e-06,0.00327702728100121,0.004838270600885153,4.7663452278357e-05,-6.747508450644091e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32888731360435486,0.08921954780817032,0.7018793821334839,0.08117631077766418,1.4378211498260498,0.951137900352478,1.3952720165252686
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.03107342728808956,0.19601471722126007,0.0,0.0,0.0,0.0,0.0,0.031167915274181175,0.19595123827457428,0.00687851756811142,6.348264287225902e-05,0.0030353700276464224,0.05773818492889404,0.013466047123074532,0.049882471561431885,0.008752426132559776,0.0021087179099223852,-0.00018826615996658802,0.02272627130150795,0.023412125185132027,0.01630965255278527,0.020317677536717062,0.008193450048565865,0.007655924651771784,0.05033681725922584,0.05441113929488869,0.00010897708125412464,0.004482362885028124,-1.7252921679755673e-05,0.0008154869268215254,0.00015212333528324962,0.0001862315839389339,0.08795197308063507,0.0867958515882492,0.006977546296647072,0.007189159625612116,-0.0003767633461393416,-0.00026664353208616376,0.08739580588052788,0.08740256731300049,0.08744507650559692,9.440422218176536e-06,0.007697956170886755,0.011395731009542942,9.817838144954294e-05,-1.164531749964226e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6442797183990479,0.16223378479480743,1.3881183862686157,0.1584303230047226,2.819960355758667,1.6831039190292358,3.084176778793335
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.04856348763994827,0.28657591342926025,0.0,0.0,0.0,0.0,0.0,0.048690244509696196,0.28644058108329773,0.012854722328484058,7.902203651610762e-05,0.005269997753202915,0.11714325845241547,0.015031088143587112,0.08608800917863846,0.003960072062909603,0.0028713717376455546,-0.00019043362408410758,0.04688076302409172,0.047255441546440125,0.016085434806370102,0.02013478683477164,0.015333796851336956,0.014531589113175869,0.07266261987959671,0.07601338629253769,0.0002692118869163096,0.006765315309166908,-6.384908920153975e-05,0.0010277239574073762,0.00015848118346184492,0.00020669613149948418,0.176205113530159,0.17392992973327637,0.019607229413759614,0.02026026051445198,-0.0005164346657693386,-0.00029353093123063445,0.10032781217889404,0.09048049154508134,0.09053597225204926,2.061814120679628e-05,0.01303347758948803,0.019543884322047234,8.058607636485249e-05,0.0001434538426110521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9378297328948975,0.20913222432136536,2.0525641441345215,0.2348581850528717,4.261587142944336,2.113218307495117,5.057798862457275
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0682163654451706,0.3769407868385315,0.0,0.0,0.0,0.0,0.0,0.06836530820431824,0.37671521306037903,0.022844333201646805,6.71334273647517e-05,0.008395573124289513,0.19163842499256134,0.013253594748675823,0.11970506608486176,0.0010150966700166464,0.0037136388995999813,-7.953262684168294e-05,0.07775424420833588,0.07737614214420319,0.01608495483203897,0.02015293111922385,0.02545330487191677,0.024309750646352768,0.10181973965521317,0.10389716732487335,0.0005202894099056721,0.008938716724514961,-8.931780030252412e-05,0.0012669490702948212,6.955266144359484e-05,0.00016319655696861446,0.28759852051734924,0.2840502858161926,0.0395135504657238,0.04070848010306931,-0.00048781587975099683,-0.00013255310477688909,0.11073050273621292,0.08617103849529648,0.08623965084450455,-2.1293639292707667e-05,0.020635167136788368,0.030305281281471252,0.00025809716316871345,0.0004479486960917711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2087007761001587,0.2437656819820404,2.7051339149475098,0.30984950065612793,5.6916961669921875,2.407451629638672,7.177716255187988
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.08980483332444611,0.47001442313194275,0.0,0.0,0.0,0.0,0.0,0.08998391016803665,0.46970921754837036,0.038324445486068726,5.9984104154864326e-05,0.013390072621405125,0.26807186007499695,0.009253988042473793,0.14239691197872162,0.0013553202152252197,0.004191582980729914,-3.444433241384104e-05,0.11911558359861374,0.11829116940498352,0.01617452933387523,0.02020179569768346,0.038585223257541656,0.037103425711393356,0.13916119934455415,0.14073418084905473,0.0006887721829116344,0.010859626345336437,-2.310395211679861e-05,0.0017205333541588067,-3.290086897322908e-05,0.00016964033420663327,0.4091919958591461,0.4044543504714966,0.06682300973076782,0.0688231210769699,-0.0005459451931528747,-1.7304420907748863e-05,0.12317402659646301,0.08918012683588866,0.08925812695329513,-1.7340184058411978e-05,0.032121527940034866,0.04516793414950371,0.00046822428703308105,0.001023338409140706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.475508451461792,0.29161161184310913,3.463160514831543,0.381876140832901,7.161174774169922,2.684770107269287,9.195261001586914
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0941065641449913,0.4707164764404297,0.0,0.0,0.0,0.0,0.0,0.09429764815520707,0.47039908170700073,0.04468126222491264,3.9146839299064595e-06,0.015764255076646805,0.28140756487846375,0.005650267470628023,0.13429850339889526,0.0005887866136617959,0.0040696844432692525,-0.00014448165893554688,0.13975980877876282,0.1387297660112381,0.016157146810825706,0.020102355384179132,0.04428469017148018,0.04267832636833191,0.14733322061474305,0.14885308216170653,0.0005124104209244251,0.010720972903072834,-5.827784480061382e-05,0.0016089403596808672,-0.0002354389792454228,6.70982917654328e-05,0.4430709779262543,0.4364778995513916,0.07863479725163346,0.08136425333561478,-0.0004875707672908902,7.314681715797633e-05,0.11922837051642379,0.08166105295984688,0.08173964917453766,-2.828240394592285e-05,0.03827160224318504,0.05239247903227806,0.00041376231820322573,0.001608823542483151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5817416906356812,0.28866851329803467,3.5929038524627686,0.39449572563171387,7.4185471534729,2.528593063354492,8.916394233703613
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.09699649852677536,0.46929115056991577,0.0,0.0,0.0,0.0,0.0,0.09719741364569397,0.4689495861530304,0.0509282723069191,-5.180239895707928e-06,0.017578456550836563,0.2833908796310425,0.0021787213627249002,0.1247551217675209,0.00046942831249907613,0.003958473784126997,-0.000158780807396397,0.15572838485240936,0.1535174548625946,0.016068994191174905,0.019671003803489528,0.04734845086932182,0.04569362476468086,0.15377793279221802,0.15486123042417907,0.00047159672249108553,0.010140345431864262,-3.3462047213106416e-06,0.001828028714721608,-0.0002710107113457412,-7.334202564379666e-06,0.46263039112091064,0.4551873505115509,0.09212887505278015,0.09459166253595887,-0.0004760265292134136,9.380817209603265e-05,0.11405314879620819,0.08029953758488273,0.08038079361787796,-6.468653737101704e-05,0.04286406561732292,0.05745590105652809,0.000297946942737326,0.0018416851526126266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6773254871368408,0.29198282957077026,3.735340118408203,0.39784950017929077,7.726892948150635,2.4755897521972656,8.40304946899414
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.098793390016436,0.46536123752593994,0.0,0.0,0.0,0.0,0.0,0.09900075045724259,0.4650280773639679,0.05376015231013298,3.4157932532252744e-05,0.019036080688238144,0.27955180406570435,0.0018145379144698381,0.12954746186733246,0.0004948949790559709,0.004866125527769327,-0.0002697199524845928,0.16250045597553253,0.16005919873714447,0.0161061483283509,0.019638926946009733,0.049780696630477905,0.048274144530296326,0.15606532433929748,0.15673642975267335,0.0003484451735857874,0.010061988607048988,2.0157694962108508e-05,0.0016162187414402603,-0.00024432851282928884,3.9261281926883385e-05,0.4627286493778229,0.45447787642478943,0.10252342853784333,0.10479893298332443,-0.00056597706861794,-4.4879914639750496e-05,0.1091409325251358,0.07330579313071289,0.07339147482922821,-4.9911737733054906e-05,0.04720303416252136,0.06181023269891739,0.00017912864859681576,0.001996838953346014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.840283989906311,0.285669207572937,3.7598044872283936,0.41479939222335815,8.196698188781738,2.427382469177246,7.745700836181641
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.09958659203385314,0.4603317379951477,0.0,0.0,0.0,0.0,0.0,0.09976393751033173,0.4600386917591095,0.05345551669597626,-3.810971975326538e-06,0.021191049367189407,0.26151856780052185,0.0010482871439307928,0.13333441317081451,0.0009787431918084621,0.004520736634731293,-0.0002549555792938918,0.16248096525669098,0.15958330035209656,0.016219782733639353,0.01970251658951201,0.0495457649230957,0.04823169857263565,0.15308873725478517,0.15496006049320984,0.0003415220999158919,0.00984182395040989,-2.591192787804175e-05,0.0018036671962594689,-0.00012982730677514522,9.198233601637185e-05,0.4436807930469513,0.43610480427742004,0.10951786777244492,0.11194129000012283,-0.0005186939379200339,-6.09302514931187e-05,0.10319551079323272,0.06892540674751091,0.06901053527151318,-8.766889368416741e-05,0.048986803740262985,0.06335096061229706,0.0003288429870735854,0.002311498625203967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9024615287780762,0.3124415874481201,3.853574752807617,0.42793992161750793,8.855051040649414,2.5699214935302734,6.705849647521973
