Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.020114386447351456,0.022962013259530067,0.0,0.0,0.0,0.0,0.0,0.020170802162793922,0.022938299924135208,0.014038723893463612,-5.532790601137094e-05,0.0013161770766600966,0.05887652188539505,0.025567710399627686,0.019961435347795486,0.0014465394197031856,0.0005070055095109135,-4.545450065052137e-05,0.015123817138373852,0.016795756295323372,0.016632138925199078,0.02034162184415562,0.011714485473930836,0.0118733961135149,0.05212056819281616,0.05391274948048592,0.005444596521556377,0.00970805436372757,3.702258982229978e-05,0.0005014019648572959,0.00023290996614377946,0.00018187033128924668,0.0715978592634201,0.07317520678043365,0.000987400775474377,0.0010735668736282825,-9.09972150111571e-05,-8.759927732171491e-05,0.15041534976319199,0.14194068316976777,0.14194985108683625,2.3846627300372347e-05,0.009271055459976196,0.011363325640559196,7.135486521292478e-05,-6.610393757000566e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19614453613758087,0.16875480115413666,0.30317792296409607,0.13538724184036255,1.7471809387207031,1.6443315744400024,0.6974245309829712
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.03539762319460945,0.06216615438461304,0.0,0.0,0.0,0.0,0.0,0.03548446315971832,0.062126826494932175,0.03288290649652481,-9.744412091095e-05,0.005763796623796225,0.14840063452720642,0.02848421037197113,0.062327198684215546,0.0022110003046691418,0.0008795850350535751,-7.114994514267892e-05,0.02500104531645775,0.02814653515815735,0.016434089887092274,0.02021700528805345,0.023322969675064087,0.023113248869776726,0.09645193626943588,0.09660691018440934,0.0011368703562766314,0.013364586047828197,4.044103479827754e-05,0.0004623970001735717,0.00023112885537557304,2.815178049786482e-05,0.18831661343574524,0.19073699414730072,0.00519756440781641,0.006114459474973297,-0.00011617135896813124,-0.00010841941548278555,0.25431732089827574,0.23685881500034028,0.23686776677792815,-5.324125140759861e-06,0.017139893025159836,0.020562397316098213,0.00017666936037130654,-0.00015240645734593272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4174376428127289,0.2972087264060974,0.6674547791481018,0.2587835192680359,3.397489070892334,3.107456684112549,1.665245771408081
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.04764344896964683,0.11177011579275131,0.0,0.0,0.0,0.0,0.0,0.04773239414286537,0.11168936640024185,0.057941194623708725,-0.00013610445603262633,0.013146628625690937,0.2570878863334656,0.027644820511341095,0.10335162281990051,0.002280536573380232,0.0012138257054254294,6.988245149841532e-05,0.03244537115097046,0.03732043132185936,0.016175391092189528,0.020151630392886127,0.037371743470430374,0.03652672469615936,0.14522553049599457,0.14494536076315306,0.000658052449580282,0.01807158626616001,9.22172112041153e-05,0.00025366739402068257,0.0002898201928474009,-4.2496561945881695e-05,0.32197678089141846,0.3255879878997803,0.014331581326496506,0.016930197439624785,-5.593014066107571e-05,8.397102646995336e-06,0.3573471233685455,0.3301449492834808,0.33015509320751646,-5.959868758509401e-07,0.023778963834047318,0.027720840647816658,0.0003882122109644115,-3.2412888685939834e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6548088788986206,0.44224604964256287,1.0872797966003418,0.37328481674194336,4.675539970397949,4.494617938995361,2.9810755252838135
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.057980169225249484,0.17076562345027924,0.0,0.0,0.0,0.0,0.0,0.05808549256029243,0.1706535369157791,0.08540797233581543,-0.00018660294881556183,0.02210218831896782,0.3654171824455261,0.023345906287431717,0.14058932662010193,0.0017379522323608398,0.0015305584815645933,-6.271362508414313e-06,0.04066534340381622,0.04688727483153343,0.015956413835809695,0.020036835584829004,0.05083005875349045,0.04917072877287865,0.19906086565609435,0.1996784042118515,0.0004804000782314688,0.021381080150604248,0.00023890209558885545,0.00013931976226481198,0.000275394442724064,-0.00014429974544327706,0.4555385112762451,0.4595088064670563,0.02606452605666809,0.03011164970522499,-0.00017148304323200136,-2.8162001399323344e-05,0.4636351130720398,0.42622341220259097,0.42623177915709226,-1.006841648631962e-05,0.029718905687332153,0.034327566623687744,0.00031470012618228793,-0.0001630873593967408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9010452032089233,0.5616615414619446,1.5121428966522217,0.48177021741867065,5.6902055740356445,5.9002366065979,4.714864730834961
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.06549463191796723,0.2316056489944458,0.0,0.0,0.0,0.0,0.0,0.06562003477893753,0.23148006200790405,0.11280513554811478,-0.00022904254728928208,0.030719798058271408,0.4658057391643524,0.02319786138832569,0.1729145050048828,0.0019584703259170055,0.0017219931633922218,2.101481004501693e-05,0.05237942561507225,0.060781899839639664,0.01593745842219488,0.019986304647825942,0.06480007618665695,0.0624174103140831,0.2511487007273819,0.25326568637416685,0.00042112707160413265,0.024809880182147026,0.0002947974135167897,7.765768975700733e-05,0.000307360285660252,-0.00017910331371240318,0.5820081233978271,0.5866801738739014,0.03967714342613182,0.04535761806979637,-0.0001469957787776366,1.8787384760798886e-05,0.5662252753852967,0.5206374079485596,0.5206403732687744,8.92996831680648e-06,0.03534549102187157,0.04067419841885567,0.0004205763398203999,-9.588658576831222e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1467455625534058,0.7175161242485046,1.972845435142517,0.5836760997772217,6.606184959411621,7.324324607849121,6.39909553527832
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.059094434450767896,0.24486160278320312,0.0,0.0,0.0,0.0,0.0,0.05924045362424316,0.24474811553955078,0.11662746220827103,-0.00022142819943837821,0.033008694648742676,0.4555845558643341,0.017812691628932953,0.17167198657989502,0.0013391864486038685,0.0014274791090007424,7.812380499672145e-05,0.056984152644872665,0.06624823808670044,0.015956089611960832,0.019829889434359243,0.06485424935817719,0.06252672523260117,0.249458254350972,0.2533734626586853,0.00033568262006156147,0.022451233118772507,0.0002738308976404369,0.00010767107038847212,0.00022319566841174065,-0.00022504612570628524,0.5870572924613953,0.5917695760726929,0.047765566623619846,0.05373578684868393,-0.0002454602799843997,-7.782459579175338e-05,0.5680453926612182,0.5196524150249238,0.5196338295915985,-2.9684304536203854e-05,0.03432842344045639,0.040345266461372375,0.000385634892154485,-7.976293272804469e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1756350994110107,0.7205893397331238,2.1219348907470703,0.5757519602775574,6.3156023025512695,7.165390968322754,6.8044233322143555
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.05234807473584366,0.25103655457496643,0.0,0.0,0.0,0.0,0.0,0.05251143892855377,0.25093600153923035,0.11615487188100815,-0.00019291981880087405,0.03380656614899635,0.4301047623157501,0.01426092628389597,0.16992440819740295,0.0007623553392477334,0.0011298165062672495,6.0650108935078606e-05,0.06512388586997986,0.07629546523094177,0.015806727198525376,0.019540260414908205,0.06400953978300095,0.06215841323137283,0.24054129984906464,0.2449354864866867,0.0002474403299856931,0.02015906758606434,0.0002861285174731165,0.00011657493791501522,7.639599391360432e-05,-0.0003065327473450452,0.5836195349693298,0.5878089666366577,0.05557221764907265,0.06191476831822929,-0.0002314746379852295,-8.406043343711644e-05,0.5672114826937988,0.5148133635080872,0.514785487161789,-9.570002293912694e-05,0.0341850183904171,0.041155144572257996,0.000280150183243677,9.37652584980242e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.184706687927246,0.7436648607254028,2.321138858795166,0.5654650926589966,6.113003253936768,6.842278957366943,7.122246742248535
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0445694837676281,0.24813494086265564,0.0,0.0,0.0,0.0,0.0,0.044756016110375975,0.2480235993862152,0.11264614015817642,-0.00015627488028258085,0.03373625874519348,0.3957395851612091,0.010346324183046818,0.16558921337127686,0.0002684175851754844,0.0009212213917635381,0.0001349008089164272,0.07725731283426285,0.09052442759275436,0.01586015624134852,0.019629663189499397,0.06285807490348816,0.061485692858695984,0.2291282508701355,0.23327350241121217,0.00022823810286354274,0.01827309839427471,0.0002893650671467185,0.00025252372437813283,-2.514525190510601e-05,-0.00033266498940065503,0.575431764125824,0.5789592862129211,0.06347664553761254,0.06994227082912674,-0.00019095420429948717,-2.2199154045665637e-05,0.5645546763787048,0.5081107691171936,0.5080725774627045,-0.00014513313362840563,0.03436488285660744,0.042172834277153015,0.0002134776150342077,0.0003117895103059709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2042163610458374,0.7482137084007263,2.518261432647705,0.5644227266311646,5.978339672088623,6.519142150878906,7.363284587860107
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.03719350414012871,0.2370421290397644,0.0,0.0,0.0,0.0,0.0,0.03741481549270973,0.23696695268154144,0.10682252049446106,-0.0001245830935658887,0.03350983187556267,0.35837891697883606,0.007761756889522076,0.16346429288387299,0.0003050804079975933,0.0008520907140336931,0.00017899752128869295,0.08757319301366806,0.10346826910972595,0.015996251906141755,0.019751687442856557,0.06161724403500557,0.06091286614537239,0.21583699060027467,0.21939458884403992,0.00021317123901098967,0.016881735995411873,0.00023508787853643298,0.0003016141990205347,-9.102587628341466e-05,-0.00031447719084098935,0.5642561912536621,0.5674420595169067,0.06981005063520355,0.07656391421858673,-0.00012840390263590962,4.999399243388325e-05,0.5595770552640198,0.5013952999944,0.5013462715015289,-0.0001866436068667099,0.035025693476200104,0.043518248945474625,7.770895899739116e-05,0.0004520147922448814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2020838260650635,0.7398579716682434,2.665907859802246,0.5654579401016235,5.890197277069092,6.295137882232666,7.52935266494751
