Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,-0.0,0.0,-0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,0.0,0.0446595065,0.0440472066,0.0440413952,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.012299445450883389,0.00016097593470476568,0.0,0.0,0.0,0.0,0.0,0.01237102402916317,4.871296914643608e-05,0.01967797987163067,-3.6871224438073114e-05,0.0060254791751503944,0.07613737881183624,0.0023187960032373667,0.023415442556142807,0.00015443467418663204,0.00042155558644821643,0.00029282664763741195,0.044773418456315994,0.0465097650885582,0.016415302946408892,0.020488037314381823,0.012095853686332703,0.01221545785665512,0.04056227762184181,0.04376065355169773,-5.644357224809937e-05,0.0026577808894217014,-4.599475869326852e-05,0.0007080501987278059,0.0004215718654450029,0.0004881143686361611,0.1150786280632019,0.11648329347372055,0.02172901544864464,0.022527114630747223,-0.00020440816297195852,-4.1405201045563444e-05,0.10814939067915802,0.08123964448134652,0.08123851197073975,1.437115679436829e-05,0.017497185617685318,0.020167579874396324,0.00359922694042325,0.005017653573304415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30111822485923767,0.09014676511287689,0.17305529117584229,0.11092665046453476,2.1733717918395996,0.970655083656311,1.038845419883728
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.02135580451623039,-8.454704220639542e-05,0.0,0.0,0.0,0.0,0.0,0.021467495892920303,-0.00031142521766014397,0.03515642508864403,-8.847457502270117e-05,0.010990377515554428,0.11867287009954453,0.0034844435285776854,0.047796498984098434,0.0002606182242743671,0.0005848594497903526,0.00044324062764644623,0.09435800462961197,0.09679589420557022,0.016125142198483378,0.02038627246749788,0.023140408098697662,0.023639092221856117,0.05778261830869674,0.05963934953549118,-0.00011151503713335842,0.005106384865939617,-0.0001238870609086007,0.0010206579157416701,0.0007431766716763377,0.000901000399608165,0.2065872848033905,0.20865663886070251,0.047002476907899854,0.048694438179425814,0.0021003340370953083,0.002438685391098261,0.16980830581496276,0.09913639728812866,0.09914552042907028,4.994201663066633e-05,0.038130369037389755,0.04417522996664047,0.00944612082093954,0.012588473968207836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.616378664970398,0.16929927468299866,0.40281152725219727,0.21309563517570496,4.462520122528076,1.9200595617294312,1.9764446020126343
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.031204499116464997,-0.0002458448288962245,0.0,0.0,0.0,0.0,0.0,0.03139599780630989,-0.000490096106659621,0.04454632103443146,-9.931871318258345e-05,0.015164988115429878,0.14646413922309875,0.0025404554326087236,0.07257746160030365,0.00036955263931304216,0.0006199830288175375,0.0006055337144061923,0.144875630736351,0.14840252697467804,0.015931190267507844,0.020130108346731995,0.03192078694701195,0.032933373004198074,0.06778402440821457,0.06755797196753884,-6.261491944314912e-05,0.006942484062165022,-0.00012446666369214654,0.001226552857873118,0.0012340040411800146,0.0015887337503954768,0.2841159403324127,0.28704923391342163,0.07627942997432938,0.07961548592848969,0.025237418711185455,0.025624055415391922,0.2283701971610031,0.10941386970508118,0.10942280663506013,7.327008643187582e-05,0.059279393404722214,0.07007290422916412,0.018378159031271935,0.024189110845327377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0140801668167114,0.2546365261077881,0.6986817717552185,0.32815486192703247,7.027925491333008,2.798854351043701,2.7099146842956543
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.04193530293158074,-0.0004624662396963686,0.0,0.0,0.0,0.0,0.0,0.04224615798297043,-0.0006545467185787857,0.05250122398138046,-0.00010701540304580703,0.019586030393838882,0.17136892676353455,0.0006690059090033174,0.09919040650129318,0.0004665374872274697,0.0005671637768240988,0.0006168865947984159,0.19382163882255554,0.1982482522726059,0.015911397078597116,0.01997944632544697,0.03858013078570366,0.0401800237596035,0.07762452305908661,0.07653022739276542,-1.1106491001555696e-05,0.007681766990572214,-0.0002195339184254408,0.0015563524962900817,0.0014911859761923552,0.001974631566554308,0.3642744719982147,0.3674752116203308,0.11597285768928223,0.12144281498914337,0.06324984133243561,0.06358783692121506,0.29168611390555116,0.11060638730406189,0.11063762754099579,0.00011830996663775295,0.07948742806911469,0.0956476479768753,0.029128756374120712,0.03907816857099533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33205246925354,0.3181076943874359,0.9830659627914429,0.4451071619987488,9.869707107543945,3.694741725921631,3.2627689838409424
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.054156461300148395,-0.0004554557672236115,0.0,0.0,0.0,0.0,0.0,0.05450830593191071,-0.0006525945500470698,0.05816611275076866,-0.0001785819185897708,0.025679437443614006,0.19109365344047546,0.0005938054528087378,0.12612684071063995,0.0005156660336069763,0.0005489102787583083,0.0008009743760339916,0.23785287141799927,0.24262496829032898,0.01579900844481,0.019989247328847465,0.043065380305051804,0.04554162174463272,0.08848668636218567,0.08804739270732727,-6.514847336802632e-05,0.007547053042799234,-0.0003847479820251465,0.002360525072503197,0.001655617612414062,0.002301784697920084,0.4481829106807709,0.452516108751297,0.17028946089882813,0.17851018119469148,0.10522517561912537,0.10558214038610458,0.3567253500103119,0.11237940197188262,0.11243746433561172,8.918046660255641e-05,0.10265651345252991,0.12439355999231339,0.04337497055530548,0.057575520128011703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6101863384246826,0.38371753692626953,1.3514827489852905,0.6020848751068115,12.947620391845703,4.409997463226318,3.578456401824951
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.055976604889534376,-0.0005744016380049288,0.0,0.0,0.0,0.0,0.0,0.05631801926445427,-0.0006681394297629595,0.05332488194108009,-0.00017543547437526286,0.028937887400388718,0.17613065242767334,0.0001634126965655014,0.13263049721717834,0.0006272685714066029,0.00036517058356697854,0.000777769077103585,0.22842705249786377,0.23298107087612152,0.01588791262309931,0.019802610173965545,0.03934949263930321,0.04169511795043945,0.08210654653484803,0.08254852513627395,-9.915828559314832e-05,0.006051179021596909,-0.0004965722328051925,0.003174262639610982,0.0016662380009510756,0.0024090225342661142,0.441405326128006,0.4458823502063751,0.19460067770522002,0.20393099057020722,0.11993608623743057,0.12018922716379166,0.35940040650856936,0.09224798898665848,0.0923095457235241,0.00017030179151333869,0.10523292422294617,0.12782344222068787,0.04826220124959946,0.06564169377088547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6535146236419678,0.41308897733688354,1.5325379371643066,0.604473888874054,12.878177642822266,4.557120323181152,3.3707385063171387
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.057889589341127395,-0.0007010650588199496,0.0,0.0,0.0,0.0,0.0,0.058250379018494794,-0.000738518254365772,0.04536474123597145,-0.00019085242820437998,0.028420383110642433,0.15911565721035004,0.00023905158741399646,0.13918577134609222,0.0005411851452663541,-4.908501987838745e-05,0.0008397602941840887,0.22074203193187714,0.2266893833875656,0.01568574258986865,0.01962415991871481,0.0342111736536026,0.036682236939668655,0.07638762709430008,0.07567092405868911,-0.00016239583783317357,0.0047968532890081406,-0.0004945266409777105,0.005216842178692627,0.0019364869764317632,0.0027826845180243254,0.43085551261901855,0.43553805351257324,0.21237980047449492,0.22285746062784728,0.17056532204151154,0.17072530090808868,0.37137535588944703,0.0866901240802822,0.0867470241653061,0.00021701573859900236,0.11309456825256348,0.13723212480545044,0.05569519102573395,0.07756758481264114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6440446376800537,0.4274114966392517,1.7628804445266724,0.6059271097183228,12.007425308227539,4.8147783279418945,3.6088335514068604
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.05987977124321404,-0.0006702184909954667,0.0,0.0,0.0,0.0,0.0,0.06025813368459091,-0.0006579136825166643,0.04120924323797226,-0.00018074974650517106,0.029509978368878365,0.13864688575267792,-1.979827902687248e-05,0.14552730321884155,0.0005705261137336493,-0.0001405882794642821,0.0009395187953487039,0.21332579851150513,0.220230832695961,0.015680089721815237,0.019523762419504338,0.03045116364955902,0.032785478979349136,0.06750682184400864,0.06551935148414535,-0.00011761367204599082,0.0037260055541992188,-0.0005211770767346025,0.008817043187485123,0.002073195623913288,0.0031797573901712894,0.40469589829444885,0.40995463728904724,0.22538876269101868,0.2379690235990738,0.21848993003368378,0.2186061143875122,0.3854739516625183,0.06526289510162392,0.06532721412292271,0.00023394703748635948,0.1161126121878624,0.1421283334493637,0.06252945214509964,0.0881105437874794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6964223384857178,0.4433721601963043,1.9510327577590942,0.5903733372688293,11.514208793640137,4.909979820251465,3.8398258686065674
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.06708391846751174,-0.0010772276436910033,0.0,0.0,0.0,0.0,0.0,0.06753442458041535,-0.0009858774719759822,0.03527408093214035,-0.00013469273108057678,0.029058365151286125,0.11727959662675858,-4.602074477588758e-05,0.14833734929561615,0.00024725974071770906,-0.00015096947026904672,0.0010698175756260753,0.21023231744766235,0.2187833935022354,0.015792310132052866,0.01954027334306192,0.02526874840259552,0.027540450915694237,0.05712202933971748,0.05549111031101036,-0.00019991457520518452,0.0031640990637242794,-0.00018497348355595022,0.011967484576348782,0.001970376155984819,0.003211759962141514,0.37032321095466614,0.3773912191390991,0.2267465471314041,0.23998086611334687,0.27186718583106995,0.2719463109970093,0.39390841870357973,0.058801570870926856,0.05885534921442242,0.00024139165179803967,0.12058309465646744,0.14963524043560028,0.07293393462896347,0.10050852596759796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9013303518295288,0.404752254486084,2.1937525272369385,0.5822383165359497,11.291050910949707,4.651614189147949,4.022838115692139
